acceleration;frequency;boost;sensor;source_file;axis;Optimal_k;error_%;new_error_%;source_filename
2,5796964323;16;2.5;2;S;Z;0,9667000000;1,42;0,1108474803;2-S 16HZ 2.5.csv
4,1425205009;16;4;2;S;Z;0,9667000000;2,55;0,0816887182;2-S 16HZ 4.csv
5,7800477170;16;5.6;2;S;Z;0,9667000000;3,22;0,2219262853;2-S 16HZ 5.6.csv
0,1083246318;25;0.1;2;S;Z;0,9819000000;0,15;0,1136420708;2-S 25HZ 0.1.csv
1,0238711793;25;1;2;S;Z;0,9819000000;0,43;0,0953412670;2-S 25HZ 1.csv
2,5442807133;25;2.5;2;S;Z;0,9819000000;0,79;0,0316208502;2-S 25HZ 2.5.csv
4,0673994660;25;4;2;S;Z;0,9819000000;1,2;0,1110797203;2-S 25HZ 4.csv
5,6987078460;25;5.6;2;S;Z;0,9819000000;1,76;0,0792636788;2-S 25HZ 5.6.csv
1,0173780454;32;1;2;S;Z;0,9997000000;0,31;0,3048719998;2-S 32HZ 1.csv
3,9892837300;32;4;2;S;Z;0,9997000000;0,19;0,2127331271;2-S 32HZ 4.csv
5,5848846291;32;5.6;2;S;Z;0,9997000000;0,27;0,2998363623;2-S 32HZ 5.6.csv
